Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788789038,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788789039,20,,Aggregated,0.000000,0.000000,64,87,120,130,190,200,220,260,270,270,270,208,0,64,87.39656874985695,9.192199999233708,272.2890000004554,522.4567307692307
1788789041,40,,Aggregated,0.000000,0.000000,110,130,150,150,180,210,240,270,350,350,350,483,0,110,110.6065180124319,9.192199999233708,349.90299999844865,528.991718426501
1788789042,60,,Aggregated,108.500000,0.000000,140,170,190,200,260,320,490,540,570,570,570,703,0,140,150.94060910384437,9.192199999233708,566.5985999985423,518.1194879089616
1788789043,60,,Aggregated,159.666667,0.000000,160,190,210,250,300,350,490,540,600,600,600,958,0,160,172.5128816283957,9.192199999233708,599.1342999986955,517.4728601252609
1788789044,60,,Aggregated,170.750000,0.000000,170,190,210,220,280,320,470,540,570,600,600,1279,0,170,171.40222994526337,9.192199999233708,599.1342999986955,525.591086786552
1788789045,60,,Aggregated,181.000000,0.000000,150,180,190,200,260,310,390,510,570,600,600,1693,5,150,160.88699545188314,9.192199999233708,599.1342999986955,520.6621382161843
1788789046,60,,Aggregated,196.333333,0.000000,150,170,180,190,240,300,360,490,560,600,600,2091,17,150,156.01363476805795,9.192199999233708,599.1342999986955,514.7900526064084
1788789047,60,,Aggregated,219.142857,0.000000,150,170,180,190,230,280,350,470,560,600,600,2417,32,150,156.69015961938175,9.192199999233708,599.1342999986955,512.3425734381465
1788789048,60,,Aggregated,239.000000,1.500000,150,170,180,190,220,280,330,450,560,600,600,2763,78,150,154.78525392691148,9.192199999233708,599.1342999986955,502.8313427433949
1788789049,60,,Aggregated,249.000000,2.444444,150,170,180,190,230,300,370,420,550,600,600,3076,130,150,158.1694155071698,9.192199999233708,599.1342999986955,494.9668400520156
1788789050,60,,Aggregated,254.500000,4.400000,150,170,180,190,220,280,360,410,550,600,600,3458,277,150,154.98028672644267,9.192199999233708,599.1342999986955,477.1787160208213
1788789051,60,,Aggregated,282.000000,9.000000,150,170,180,190,220,280,360,400,550,600,600,3849,491,150,152.59293660691563,9.192199999233708,599.1342999986955,456.3211223694466
1788789052,60,,Aggregated,292.900000,14.400000,150,170,180,190,220,270,360,390,550,600,600,4228,727,150,150.95102866604495,9.192199999233708,599.1342999986955,436.01726584673605
1788789054,60,,Aggregated,322.400000,51.600000,150,170,190,190,220,260,350,390,550,600,600,4606,1016,150,149.990331089892,9.192199999233708,599.1342999986955,414.4248805905341
1788789055,60,,Aggregated,332.300000,72.700000,150,170,180,190,210,260,330,380,550,600,600,5005,1405,150,148.34734809191968,9.192199999233708,599.1342999986955,386.9942057942058
1788789056,60,,Aggregated,339.900000,99.000000,150,170,180,190,210,250,330,380,550,600,600,5448,1848,150,145.5335528450878,9.192199999233708,599.1342999986955,360.1609765051395
1788789057,60,,Aggregated,340.100000,133.500000,150,170,180,190,210,240,320,370,550,600,600,5866,2266,150,144.3154214797213,9.192199999233708,599.1342999986955,338.5583020797818
1788789058,60,,Aggregated,342.000000,172.000000,150,170,180,190,210,240,310,370,550,600,600,6173,2573,150,145.30902123765568,9.192199999233708,599.1342999986955,324.55564555321564
1788789059,60,,Aggregated,348.700000,210.600000,150,170,180,190,210,250,310,370,550,600,600,6498,2898,150,146.21986463528276,9.192199999233708,599.1342999986955,311.1737457679286
1788789060,60,,Aggregated,348.000000,238.100000,150,170,180,190,210,250,310,360,550,600,600,6864,3264,150,145.62047747670306,9.192199999233708,599.1342999986955,297.65064102564105
1788789061,60,,Aggregated,345.900000,258.900000,150,170,180,190,210,260,310,360,550,600,600,7164,3504,150,146.72168079286274,9.192199999233708,599.1342999986955,291.1333054159687
1788789062,60,,Aggregated,349.600000,289.800000,150,170,180,190,210,250,310,360,550,600,600,7576,3856,150,145.35274736009669,9.192199999233708,599.1342999986955,282.18162618796197
1788789063,60,,Aggregated,344.300000,305.500000,150,170,180,190,210,250,310,360,550,600,600,7978,4198,150,144.6159268989785,9.192199999233708,599.1342999986955,274.2439207821509
1788789065,60,,Aggregated,339.100000,317.200000,150,170,180,190,210,240,300,360,540,600,600,8391,4551,150,143.48186980098183,9.192199999233708,599.1342999986955,267.13276129186033
1788789066,60,,Aggregated,340.100000,320.800000,150,170,180,190,210,240,300,350,540,600,600,8799,4883,150,142.67068865780345,9.192199999233708,599.1342999986955,261.20956926923515
1788789067,60,,Aggregated,343.000000,319.000000,150,170,180,190,210,240,300,350,540,600,600,9217,5213,150,142.34308791363418,9.192199999233708,599.1342999986955,256.38298795703594
1788789068,60,,Aggregated,341.100000,311.100000,150,170,180,190,210,240,290,350,540,600,600,9564,5484,150,143.13364365328079,9.192199999233708,599.1342999986955,252.82611877875365
1788789069,60,,Aggregated,340.800000,304.800000,150,170,180,190,210,250,300,350,540,600,600,9898,5758,150,143.88888813901775,9.192199999233708,599.1342999986955,249.11567993534047
1788789070,60,,Aggregated,339.400000,297.400000,150,170,180,190,210,250,300,350,540,570,600,10263,6063,150,144.03710305953365,9.192199999233708,599.1342999986955,244.9448504335964
1788789071,60,,Aggregated,335.400000,287.400000,150,170,180,190,210,250,310,350,540,570,600,10587,6327,150,144.66462879002833,9.192199999233708,599.1342999986955,241.89288750354208
1788789073,60,,Aggregated,334.900000,274.900000,150,170,180,190,210,250,310,350,540,570,600,10997,6672,150,144.19566037101578,9.192199999233708,599.1342999986955,237.78284986814586
1788789074,60,,Aggregated,339.700000,279.600000,150,170,180,190,210,250,300,350,540,570,600,11327,6944,150,144.53269860511165,9.192199999233708,599.1342999986955,235.02780965833847
1788789075,60,,Aggregated,335.600000,275.600000,150,170,180,190,210,250,300,350,540,570,600,11685,7210,150,144.4031254685551,9.192199999233708,599.1342999986955,233.46016260162602
1788789076,60,,Aggregated,331.000000,271.000000,150,170,180,190,210,250,300,340,540,570,600,12061,7506,150,144.19163066081202,9.192199999233708,599.1342999986955,230.87140369786917
1788789077,60,,Aggregated,326.000000,266.000000,150,170,180,190,210,250,300,340,540,570,600,12468,7848,150,143.71074529997324,9.192199999233708,599.1342999986955,227.38225858196984
1788789078,60,,Aggregated,323.100000,263.100000,150,170,180,190,210,240,290,330,540,570,600,12831,8151,150,143.67424984802975,9.192199999233708,599.1342999986955,224.70166004208556
1788789079,60,,Aggregated,320.300000,260.300000,150,170,180,190,220,250,310,360,520,570,600,13070,8330,150,145.1251967635866,9.192199999233708,599.1342999986955,223.91706197398622
1788789080,60,,Aggregated,326.700000,266.600000,150,170,180,190,210,250,310,360,520,570,600,13467,8667,150,144.72530204946244,9.192199999233708,599.1342999986955,221.1580901462835
1788789081,60,,Aggregated,327.300000,267.300000,150,170,180,190,220,250,310,360,520,570,600,13772,8912,150,145.09420527883748,9.192199999233708,599.1342999986955,219.46195178623293
1788789082,60,,Aggregated,323.200000,263.200000,150,170,180,190,220,250,300,360,520,570,600,14153,9233,150,144.97219234792612,9.192199999233708,599.1342999986955,217.14456299017877
1788789083,60,,Aggregated,323.200000,263.200000,150,170,180,190,220,250,300,360,520,570,600,14494,9514,150,145.141411935989,9.192199999233708,599.1342999986955,215.21981509590177
1788789084,60,,Aggregated,325.900000,266.000000,150,170,180,190,220,250,300,350,520,570,600,14818,9778,150,145.41581812661732,9.192199999233708,599.1342999986955,213.75394790120123
1788789086,60,,Aggregated,322.100000,262.100000,150,170,180,190,220,250,310,360,510,570,600,15111,10011,150,145.98228873669416,9.192199999233708,599.1342999986955,212.58473959367348
1788789087,60,,Aggregated,319.300000,259.300000,150,170,180,190,220,260,310,360,510,570,600,15416,10251,150,146.3758251946149,9.192199999233708,599.1342999986955,211.68253762324858
1788789088,60,,Aggregated,311.300000,251.300000,150,170,180,190,220,250,310,360,510,570,600,15781,10504,150,146.23985367848488,9.192199999233708,599.1342999986955,211.41613332488436
1788789089,60,,Aggregated,303.000000,243.000000,150,170,180,190,220,260,310,360,510,570,600,16063,10723,150,147.03259323290857,9.192199999233708,599.1342999986955,210.72352611591856
1788789090,60,,Aggregated,300.400000,240.500000,150,170,180,190,220,260,310,350,510,570,600,16432,11032,150,146.98305456427727,9.192199999233708,599.1342999986955,209.11976630963972
1788789091,60,,Aggregated,305.600000,245.600000,150,170,180,190,220,260,310,350,510,570,600,16812,11352,150,146.8446463121681,9.192199999233708,599.1342999986955,207.2246014751368
1788789092,60,,Aggregated,304.600000,244.600000,150,170,180,190,220,260,310,350,500,570,600,17108,11588,150,147.34076478841462,9.192199999233708,599.1342999986955,206.110357727379
1788789093,60,,Aggregated,308.900000,248.900000,150,170,190,190,220,260,310,350,500,570,600,17453,11873,150,147.69274394660943,9.192199999233708,599.1342999986955,204.84690311121298
1788789094,60,,Aggregated,305.700000,245.700000,150,170,190,190,220,260,310,350,500,570,600,17779,12139,150,147.85443445076703,9.192199999233708,599.1342999986955,203.70633893919793
1788789096,60,,Aggregated,299.500000,239.500000,150,170,190,190,220,250,310,350,500,570,600,18169,12468,150,147.6813504045464,9.192199999233708,599.1342999986955,202.12262645164842
1788789097,60,,Aggregated,299.600000,239.600000,150,170,190,190,220,250,310,350,500,570,600,18541,12767,150,147.49336104849982,9.192199999233708,599.1342999986955,200.93037053017636
1788789098,60,,Aggregated,305.600000,245.600000,150,170,180,190,220,250,300,340,500,570,600,18933,13074,150,147.0999426768227,9.192199999233708,599.1342999986955,200.13336502403212
